condition_id,method_id,n_training_seeds,accuracy_mean,ci95_low,ci95_high
clean_continuous,baseline_d2nn,3,0.8963666666666666,0.8881489628954994,0.9045843704378339
detector_noise_0p01,baseline_d2nn,3,0.8961888888888889,0.8879722976855077,0.9044054800922702
detector_noise_0p03,baseline_d2nn,3,0.8962222222222223,0.8871963952578938,0.9052480491865507
gap_error_0p1mm,baseline_d2nn,3,0.8963111111111111,0.8874690954529583,0.9051531267692638
gap_error_0p3mm,baseline_d2nn,3,0.8945222222222222,0.8862250810615375,0.9028193633829069
lateral_shift_0p25px,baseline_d2nn,3,0.8768666666666667,0.8744969503217098,0.8792363830116235
lateral_shift_0p50px,baseline_d2nn,3,0.8532888888888889,0.848500281933987,0.8580774958437908
mixed_nominal,baseline_d2nn,3,0.8748222222222223,0.8670507860611043,0.8825936583833403
mixed_stress,baseline_d2nn,3,0.8336111111111111,0.8224486551006773,0.8447735671215448
phase_noise_0p02rad,baseline_d2nn,3,0.8959555555555555,0.8880728658842203,0.9038382452268907
phase_noise_0p05rad,baseline_d2nn,3,0.8937222222222222,0.8871517244991255,0.9002927199453189
phase_quantization_16,baseline_d2nn,3,0.8889666666666667,0.8797206896405168,0.8982126436928166
phase_quantization_4,baseline_d2nn,3,0.6141333333333333,0.535320630624556,0.6929460360421106
phase_quantization_8,baseline_d2nn,3,0.8446,0.7782763143209661,0.9109236856790339
clean_continuous,hybrid,3,0.9569666666666666,0.9471981813775695,0.9667351519557638
detector_noise_0p01,hybrid,3,0.9568888888888889,0.9472360848654766,0.9665416929123012
detector_noise_0p03,hybrid,3,0.9566888888888889,0.9476657211419905,0.9657120566357873
gap_error_0p1mm,hybrid,3,0.956911111111111,0.9475339406226799,0.9662882815995422
gap_error_0p3mm,hybrid,3,0.9567111111111112,0.948286040743477,0.9651361814787454
lateral_shift_0p25px,hybrid,3,0.9481444444444445,0.9305375454181913,0.9657513434706976
lateral_shift_0p50px,hybrid,3,0.9480666666666667,0.9411051689727469,0.9550281643605866
mixed_nominal,hybrid,3,0.9503444444444444,0.9331409396814118,0.9675479492074771
mixed_stress,hybrid,3,0.9307777777777777,0.9095316086539691,0.9520239469015863
phase_noise_0p02rad,hybrid,3,0.9569666666666666,0.9465290174860391,0.9674043158472941
phase_noise_0p05rad,hybrid,3,0.9561555555555555,0.9476068755195671,0.964704235591544
phase_quantization_16,hybrid,3,0.9557333333333333,0.9439622596083846,0.967504407058282
phase_quantization_4,hybrid,3,0.7466,0.4590210642736429,1.034178935726357
phase_quantization_8,hybrid,3,0.9421666666666667,0.9025913563686389,0.9817419769646946
clean_continuous,robust_d2nn,3,0.8831,0.8790332912990824,0.8871667087009176
detector_noise_0p01,robust_d2nn,3,0.8831,0.8786539255125921,0.8875460744874079
detector_noise_0p03,robust_d2nn,3,0.8832666666666666,0.878771513637043,0.8877618196962903
gap_error_0p1mm,robust_d2nn,3,0.8830222222222222,0.8784399525537093,0.887604491890735
gap_error_0p3mm,robust_d2nn,3,0.8833666666666666,0.8794801399115262,0.8872531934218071
lateral_shift_0p25px,robust_d2nn,3,0.8785444444444445,0.8743211397399017,0.8827677491489873
lateral_shift_0p50px,robust_d2nn,3,0.8753111111111112,0.8690917568677181,0.8815304653545042
mixed_nominal,robust_d2nn,3,0.8796,0.8788547586864749,0.8803452413135252
mixed_stress,robust_d2nn,3,0.8612,0.8430465216851212,0.8793534783148788
phase_noise_0p02rad,robust_d2nn,3,0.8836666666666667,0.879455013227534,0.8878783201057994
phase_noise_0p05rad,robust_d2nn,3,0.8828,0.8776202435826373,0.8879797564173627
phase_quantization_16,robust_d2nn,3,0.8821333333333333,0.8758817238539576,0.8883849428127091
phase_quantization_4,robust_d2nn,3,0.7932333333333333,0.6947983512486817,0.891668315417985
phase_quantization_8,robust_d2nn,3,0.8774666666666666,0.8710783582575113,0.8838549750758219
