condition_id,method_id,reference_method_id,n_training_seeds,difference_pp,ci95_low_pp,ci95_high_pp
clean_continuous,hybrid,baseline_d2nn,3,6.059999999999999,5.189842336714566,6.930157663285431
detector_noise_0p01,hybrid,baseline_d2nn,3,6.070000000000002,5.176592574403957,6.963407425596048
detector_noise_0p03,hybrid,baseline_d2nn,3,6.046666666666665,5.221981167315852,6.871352166017479
gap_error_0p1mm,hybrid,baseline_d2nn,3,6.0600000000000005,5.178879781467836,6.941120218532165
gap_error_0p3mm,hybrid,baseline_d2nn,3,6.218888888888887,5.451109771132646,6.986668006645128
lateral_shift_0p25px,hybrid,baseline_d2nn,3,7.1277777777777755,5.421313316970361,8.83424223858519
lateral_shift_0p50px,hybrid,baseline_d2nn,3,9.47777777777778,8.30345998197743,10.65209557357813
mixed_nominal,hybrid,baseline_d2nn,3,7.552222222222222,5.064301381280018,10.040143063164427
mixed_stress,hybrid,baseline_d2nn,3,9.716666666666665,7.615631738760624,11.817701594572707
phase_noise_0p02rad,hybrid,baseline_d2nn,3,6.101111111111113,5.249980882884879,6.952241339337347
phase_noise_0p05rad,hybrid,baseline_d2nn,3,6.243333333333332,5.711640164455875,6.775026502210792
phase_quantization_16,hybrid,baseline_d2nn,3,6.676666666666671,5.132233413309926,8.221099920023416
phase_quantization_4,hybrid,baseline_d2nn,3,13.246666666666664,-18.78157944965618,45.27491278298951
phase_quantization_8,hybrid,baseline_d2nn,3,9.756666666666673,5.849667395506854,13.663665937826492
clean_continuous,robust_d2nn,baseline_d2nn,3,-1.3266666666666724,-1.7499431282883615,-0.9033902050449831
detector_noise_0p01,robust_d2nn,baseline_d2nn,3,-1.3088888888888877,-1.7023051082047262,-0.9154726695730491
detector_noise_0p03,robust_d2nn,baseline_d2nn,3,-1.295555555555556,-1.7525838885058709,-0.8385272226052412
gap_error_0p1mm,robust_d2nn,baseline_d2nn,3,-1.3288888888888881,-1.7583832432675934,-0.8993945345101829
gap_error_0p3mm,robust_d2nn,baseline_d2nn,3,-1.1155555555555574,-1.5579470391474917,-0.6731640719636228
lateral_shift_0p25px,robust_d2nn,baseline_d2nn,3,0.16777777777777905,-0.2176269646008304,0.5531825201563885
lateral_shift_0p50px,robust_d2nn,baseline_d2nn,3,2.2022222222222227,1.8243634241396862,2.5800810203047595
mixed_nominal,robust_d2nn,baseline_d2nn,3,0.4777777777777782,-0.365624000165379,1.3211795557209354
mixed_stress,robust_d2nn,baseline_d2nn,3,2.7588888888888876,0.961317120963609,4.556460656814166
phase_noise_0p02rad,robust_d2nn,baseline_d2nn,3,-1.228888888888887,-1.5996032305864174,-0.858174547191356
phase_noise_0p05rad,robust_d2nn,baseline_d2nn,3,-1.0922222222222229,-1.2841670016612905,-0.9002774427831552
phase_quantization_16,robust_d2nn,baseline_d2nn,3,-0.6833333333333285,-1.6342531159903366,0.2675864493236796
phase_quantization_4,robust_d2nn,baseline_d2nn,3,17.91,3.0146785868850863,32.80532141311492
phase_quantization_8,robust_d2nn,baseline_d2nn,3,3.2866666666666675,-3.970771879061031,10.544105212394367
