method_id,training_seed,accuracy,cpu_median_seconds,timing_repeat_count
baseline_d2nn,42,0.8926,45.622629199991934,5
baseline_d2nn,43,0.8977,46.85616629989818,5
baseline_d2nn,44,0.8988,88.74117560009472,5
electronic,42,0.9478,0.7166339999530464,5
electronic,43,0.9438,0.734130600001663,5
electronic,44,0.9485,0.6363988999510184,5
hybrid,42,0.9539,61.88515520002693,5
hybrid,43,0.9614,63.786403300007805,5
hybrid,44,0.9556,64.05005740001798,5
robust_d2nn,42,0.8813,71.27985140006058,5
robust_d2nn,43,0.8835,62.964271400123835,5
robust_d2nn,44,0.8845,76.64537949999794,5
