method_id,method_label,training_seed,true_label,predicted_label,count,row_fraction
baseline_d2nn,基准 D²NN,42,0,0,939,0.9581632653061225
baseline_d2nn,基准 D²NN,42,0,1,0,0.0
baseline_d2nn,基准 D²NN,42,0,2,2,0.0020408163265306124
baseline_d2nn,基准 D²NN,42,0,3,7,0.007142857142857143
baseline_d2nn,基准 D²NN,42,0,4,1,0.0010204081632653062
baseline_d2nn,基准 D²NN,42,0,5,5,0.00510204081632653
baseline_d2nn,基准 D²NN,42,0,6,17,0.017346938775510204
baseline_d2nn,基准 D²NN,42,0,7,2,0.0020408163265306124
baseline_d2nn,基准 D²NN,42,0,8,7,0.007142857142857143
baseline_d2nn,基准 D²NN,42,0,9,0,0.0
baseline_d2nn,基准 D²NN,42,1,0,0,0.0
baseline_d2nn,基准 D²NN,42,1,1,1117,0.9841409691629956
baseline_d2nn,基准 D²NN,42,1,2,4,0.003524229074889868
baseline_d2nn,基准 D²NN,42,1,3,1,0.000881057268722467
baseline_d2nn,基准 D²NN,42,1,4,1,0.000881057268722467
baseline_d2nn,基准 D²NN,42,1,5,0,0.0
baseline_d2nn,基准 D²NN,42,1,6,4,0.003524229074889868
baseline_d2nn,基准 D²NN,42,1,7,1,0.000881057268722467
baseline_d2nn,基准 D²NN,42,1,8,7,0.006167400881057269
baseline_d2nn,基准 D²NN,42,1,9,0,0.0
baseline_d2nn,基准 D²NN,42,2,0,13,0.012596899224806201
baseline_d2nn,基准 D²NN,42,2,1,2,0.001937984496124031
baseline_d2nn,基准 D²NN,42,2,2,906,0.877906976744186
baseline_d2nn,基准 D²NN,42,2,3,24,0.023255813953488372
baseline_d2nn,基准 D²NN,42,2,4,15,0.014534883720930232
baseline_d2nn,基准 D²NN,42,2,5,2,0.001937984496124031
baseline_d2nn,基准 D²NN,42,2,6,10,0.009689922480620155
baseline_d2nn,基准 D²NN,42,2,7,20,0.01937984496124031
baseline_d2nn,基准 D²NN,42,2,8,36,0.03488372093023256
baseline_d2nn,基准 D²NN,42,2,9,4,0.003875968992248062
baseline_d2nn,基准 D²NN,42,3,0,4,0.0039603960396039604
