cohort,method,seed,epoch,train_accuracy,val_accuracy
mnist_v1_n3,baseline_d2nn,42,1,80.64363636363636,86.78
mnist_v1_n3,baseline_d2nn,42,2,87.98181818181818,88.64
mnist_v1_n3,baseline_d2nn,42,3,88.51454545454546,88.38
mnist_v1_n3,baseline_d2nn,43,1,80.50727272727272,87.42
mnist_v1_n3,baseline_d2nn,43,2,87.88545454545455,87.9
mnist_v1_n3,baseline_d2nn,43,3,88.71454545454546,88.46
mnist_v1_n3,baseline_d2nn,44,1,80.96181818181819,86.84
mnist_v1_n3,baseline_d2nn,44,2,88.0909090909091,87.4
mnist_v1_n3,baseline_d2nn,44,3,88.8709090909091,87.92
mnist_v1_n3,robust_d2nn,42,1,76.08181818181818,85.72
mnist_v1_n3,robust_d2nn,42,2,84.38181818181818,86.62
mnist_v1_n3,robust_d2nn,42,3,85.28545454545454,86.96
mnist_v1_n3,robust_d2nn,43,1,75.77272727272727,84.76
mnist_v1_n3,robust_d2nn,43,2,84.25272727272727,86.22
mnist_v1_n3,robust_d2nn,43,3,85.30727272727273,87.2
mnist_v1_n3,robust_d2nn,44,1,76.56545454545454,85.02
mnist_v1_n3,robust_d2nn,44,2,84.3490909090909,86.16
mnist_v1_n3,robust_d2nn,44,3,85.47090909090909,86.86
mnist_v1_n3,hybrid,42,1,83.81090909090909,91.9
mnist_v1_n3,hybrid,42,2,94.28181818181818,94.64
mnist_v1_n3,hybrid,42,3,95.2309090909091,95.26
mnist_v1_n3,hybrid,43,1,84.37636363636364,93.56
mnist_v1_n3,hybrid,43,2,94.33090909090909,94.76
mnist_v1_n3,hybrid,43,3,95.33090909090909,95.54
mnist_v1_n3,electronic,42,1,90.53272727272727,92.72
mnist_v1_n3,electronic,42,2,94.32727272727273,94.12
mnist_v1_n3,electronic,42,3,95.0709090909091,93.78
mnist_v1_n3,electronic,43,1,89.74,92.48
mnist_v1_n3,electronic,43,2,93.60909090909091,93.82
mnist_v1_n3,electronic,43,3,94.28545454545454,94.7
mnist_v1_n3,electronic,44,1,90.16181818181818,92.54
mnist_v1_n3,electronic,44,2,93.86545454545454,93.54
mnist_v1_n3,electronic,44,3,94.78909090909092,94.18
mnist_v2_n5,baseline_d2nn,42,1,80.64363636363636,86.78
mnist_v2_n5,baseline_d2nn,42,2,87.98181818181818,88.64
mnist_v2_n5,baseline_d2nn,42,3,88.51454545454546,88.38
mnist_v2_n5,baseline_d2nn,43,1,80.50727272727272,87.42
mnist_v2_n5,baseline_d2nn,43,2,87.88545454545455,87.9
mnist_v2_n5,baseline_d2nn,43,3,88.71454545454546,88.46
mnist_v2_n5,baseline_d2nn,44,1,80.96181818181819,86.84
mnist_v2_n5,baseline_d2nn,44,2,88.0909090909091,87.4
mnist_v2_n5,baseline_d2nn,44,3,88.8709090909091,87.92
mnist_v2_n5,baseline_d2nn,45,1,80.69818181818182,87.36
mnist_v2_n5,baseline_d2nn,45,2,88.03090909090909,88.14
mnist_v2_n5,baseline_d2nn,45,3,88.69818181818182,88.16
mnist_v2_n5,baseline_d2nn,46,1,80.36909090909091,87.74
mnist_v2_n5,baseline_d2nn,46,2,87.95818181818181,88.68
mnist_v2_n5,baseline_d2nn,46,3,88.62727272727273,89.12
mnist_v2_n5,robust_d2nn,42,1,76.08181818181818,85.72
mnist_v2_n5,robust_d2nn,42,2,84.38181818181818,86.62
mnist_v2_n5,robust_d2nn,42,3,85.28363636363636,86.96
mnist_v2_n5,robust_d2nn,43,1,75.77272727272727,84.76
mnist_v2_n5,robust_d2nn,43,2,84.25272727272727,86.22
mnist_v2_n5,robust_d2nn,43,3,85.30727272727273,87.2
mnist_v2_n5,robust_d2nn,44,1,76.56545454545454,85.02
mnist_v2_n5,robust_d2nn,44,2,84.3490909090909,86.16
mnist_v2_n5,robust_d2nn,44,3,85.47090909090909,86.86
mnist_v2_n5,robust_d2nn,45,1,76.33272727272727,85.26
mnist_v2_n5,robust_d2nn,45,2,84.39636363636363,85.04
mnist_v2_n5,robust_d2nn,45,3,85.5690909090909,87.16
mnist_v2_n5,robust_d2nn,46,1,75.85636363636364,85.12
mnist_v2_n5,robust_d2nn,46,2,84.30545454545455,86.98
